Task Time,Domain
2021-09-08T13:21:51.746Z,krishantha.net
2021-09-07T12:47:41.868Z,krishantha.net
2021-09-07T12:23:16.566Z,onlinefriendshipclubs.in
2021-09-06T14:47:39.468Z,ff.hashroot.com
2021-09-06T14:37:57.093Z,ff.hashroot.com
2021-09-06T13:25:12.161Z,ff.hashroot.com
2021-09-06T13:14:26.494Z,ff.hashroot.com
2021-09-06T13:06:13.766Z,ff.hashroot.com
2021-09-04T05:16:13.875Z,actioncancerhospital.com
2021-09-04T01:42:12.011Z,centreofexcellence.in
2021-09-03T18:36:14.463Z,krishantha.net
2021-09-03T14:57:59.233Z,centreofexcellence.in
2021-09-03T10:52:14.543Z,actioncancerhospital.com
2021-09-03T04:47:23.536Z,actioncancerhospital.com
2021-09-03T02:19:23.071Z,centreofexcellence.in
2021-09-03T00:27:01.791Z,armitazh.com
2021-09-02T22:57:23.584Z,armitazh.com
2021-09-02T17:45:50.464Z,actioncancerhospital.com
2021-09-02T17:40:56.193Z,actioncancerhospital.com
2021-09-02T17:14:01.322Z,centreofexcellence.in
2021-09-02T14:50:22.220Z,centreofexcellence.in
2021-09-02T14:45:13.220Z,centreofexcellence.in
2021-09-02T13:02:36.660Z,centreofexcellence.in
2021-09-02T13:02:21.655Z,centreofexcellence.in
2021-09-02T12:55:40.386Z,centreofexcellence.in
2021-09-02T11:51:39.838Z,centreofexcellence.in
2021-09-02T09:41:45.017Z,actioncancerhospital.com
2021-09-02T09:40:04.549Z,centreofexcellence.in
2021-09-02T09:37:13.675Z,centreofexcellence.in
2021-09-02T09:07:10.496Z,centreofexcellence.in
2021-09-02T08:36:09.912Z,centreofexcellence.in
2021-09-02T08:29:39.420Z,centreofexcellence.in
2021-09-02T08:07:17.893Z,centreofexcellence.in
2021-09-02T04:35:10.019Z,actioncancerhospital.com
2021-09-02T04:14:32.677Z,actioncancerhospital.com
2021-09-02T03:07:23.220Z,centreofexcellence.in
2021-09-02T02:53:05.801Z,actioncancerhospital.com
2021-09-01T23:34:01.680Z,centreofexcellence.in
2021-09-01T20:08:58.817Z,centreofexcellence.in
2021-09-01T19:10:46.540Z,actioncancerhospital.com
2021-09-01T18:41:55.058Z,centreofexcellence.in
2021-09-01T18:26:35.650Z,centreofexcellence.in
2021-09-01T18:11:22.939Z,centreofexcellence.in
2021-09-01T17:50:37.244Z,actioncancerhospital.com
2021-09-01T17:28:37.774Z,centreofexcellence.in
2021-09-01T17:17:59.854Z,centreofexcellence.in
2021-09-01T17:04:10.790Z,centreofexcellence.in
2021-09-01T16:58:56.417Z,centreofexcellence.in
2021-09-01T15:16:02.739Z,centreofexcellence.in
2021-09-01T14:18:10.135Z,actioncancerhospital.com
2021-09-01T14:13:02.577Z,centreofexcellence.in
2021-09-01T13:39:41.478Z,actioncancerhospital.com
2021-09-01T13:14:30.070Z,centreofexcellence.in
2021-09-01T13:12:02.228Z,actioncancerhospital.com
2021-09-01T13:10:32.311Z,centreofexcellence.in
2021-09-01T12:47:01.110Z,centreofexcellence.in
2021-09-01T12:44:05.687Z,actioncancerhospital.com
2021-09-01T12:43:55.336Z,actioncancerhospital.com
2021-09-01T12:09:11.219Z,actioncancerhospital.com
2021-09-01T11:54:23.760Z,actioncancerhospital.com
2021-09-01T11:33:19.832Z,centreofexcellence.in
